Feed of hostnames found in certificate transparency logs that are related to the COVID-19 pandemic.

Disclaimer:
Not every hostname in this list is malicious. This is just a feed of hostnames that appear
to be related to COVID-19. While this feed is useful for hunting for COVID-19 scams / malware,
there are likely legitimate sites in this data.

Changelog:
- Sat Mar 14 14:35:56 CDT 2020 -- initial release. started scanning last night
  so collection has been running about 18 hours at this point. Also updated
  collection logic to account for potential false positives.

- Sat Mar 14 15:13:45 CDT 2020 -- Added timestamp to feed.
  Timestamps with "2020-03-14 15:11:20.684411" were before I added timestamp support

- Sun Mar 15 16:53:14 CDT 2020 -- changed feed data to be CSV format

Feed:
date,time,hostname
2020-03-14,15:11:20.684411,covid19labtest.com
2020-03-14,15:11:20.684411,covid19lawdaily.com
2020-03-14,15:11:20.684411,covid19.leclubdes100.fr
2020-03-14,15:11:20.684411,covid19live.pw
2020-03-14,15:11:20.684411,covid19mahayana.net
2020-03-14,15:11:20.684411,covid19mapper.com
2020-03-14,15:11:20.684411,covid19.martysullivan.com
2020-03-14,15:11:20.684411,covid-19medical.shop
2020-03-14,15:11:20.684411,covid19medsupplies.com
2020-03-14,15:11:20.684411,*.covid-19.me.uk
2020-03-14,15:11:20.684411,covid19.motimate.app
2020-03-14,15:11:20.684411,covid19.mx
2020-03-14,15:11:20.684411,covid19.news7.eu
2020-03-14,15:11:20.684411,covid-19newsblog.com
2020-03-14,15:11:20.684411,covid19news.org.uk
2020-03-14,15:11:20.684411,covid19nz.com
2020-03-14,15:11:20.684411,covid19.pasarsore.com
2020-03-14,15:11:20.684411,covid19.perkonigg.at
2020-03-14,15:11:20.684411,covid19ph.net
2020-03-14,15:11:20.684411,*.covid-19-predator.com
2020-03-14,15:11:20.684411,covid19preventioncenter.com
2020-03-14,15:11:20.684411,covid19prevention.com.au
2020-03-14,15:11:20.684411,covid19.puget-dev.com
2020-03-14,15:11:20.684411,*.covid19rapidtest.it
2020-03-14,15:11:20.684411,covid-19resource.com
2020-03-14,15:11:20.684411,covid19.ryangomba.com
2020-03-14,15:11:20.684411,covid-19.sauerwein.se
2020-03-14,15:11:20.684411,covid19schoolclosures.com
2020-03-14,15:11:20.684411,covid19shops.com
2020-03-14,15:11:20.684411,covid19stories.com
2020-03-14,15:11:20.684411,covid-19survivor.org
2020-03-14,15:11:20.684411,covid19symptomlog.com
2020-03-14,15:11:20.684411,covid19.talisis.com
2020-03-14,15:11:20.684411,covid19tally.com
2020-03-14,15:11:20.684411,covid-19.teod.eu
2020-03-14,15:11:20.684411,covid-19-testerkit.com
2020-03-14,15:11:20.684411,covid19updates.online
2020-03-14,15:11:20.684411,covid-19-uptogether.zendesk.com
2020-03-14,15:11:20.684411,covid19-us.com
2020-03-14,15:11:20.684411,covid19.ventures
2020-03-14,15:11:20.684411,covid19.virusforecast.com
2020-03-14,15:11:20.684411,covid-19.widya-analytic.com
2020-03-14,15:11:20.684411,covid19.widya-analytic.com
2020-03-14,15:11:20.684411,covid19.wongselo.com
2020-03-14,15:11:20.684411,crscovid19.com
2020-03-14,15:11:20.684411,cuidadoscoronavirus.com
2020-03-14,15:11:20.684411,cuidados-covid19.com
2020-03-14,15:11:20.684411,curemecoronavirus.com
2020-03-14,15:11:20.684411,data4covid19.com
2020-03-14,15:11:20.684411,*.dataforcoronavirus.com
2020-03-14,15:11:20.684411,datoscoronavirus.com
2020-03-14,15:11:20.684411,despre-coronavirus.ro
2020-03-14,15:11:20.684411,deteccioncoronavirus.com
2020-03-14,15:11:20.684411,dev.covid19.request.cz
2020-03-14,15:11:20.684411,devkawalcovid19.harippe.id
2020-03-14,15:11:20.684411,disinfettantecoronavirus.it
2020-03-14,15:11:20.684411,doestrumphavethecoronavirusyet.com
2020-03-14,15:11:20.684411,donaldtrumphascoronavirus.com
2020-03-14,15:11:20.684411,dugnad.covid19.motimate.app
2020-03-14,15:11:20.684411,elcoronavirus.cc
2020-03-14,15:11:20.684411,eradicatecovid19.com
2020-03-14,15:11:20.684411,examedecoronavirus.com.br
2020-03-14,15:11:20.684411,film-covid19.synology.me
2020-03-14,15:11:20.684411,freecoronavirustest.org
2020-03-14,15:11:20.684411,fuckcovid19.biz
2020-03-14,15:11:20.684411,fuvkcoronavirus.com
2020-03-14,15:11:20.684411,*.games4coronavirus.com
2020-03-14,15:11:20.684411,getcovid19help.com
2020-03-14,15:11:20.684411,*.guiacoronavirus.es
2020-03-14,15:11:20.684411,healcovid19.pl
2020-03-14,15:11:20.684411,healthcovid19.com
2020-03-14,15:11:20.684411,helpslowcovid19.com
2020-03-14,15:11:20.684411,hulksmashcoronavirus.com
2020-03-14,15:11:20.684411,ibeatthecoronavirus19.com
2020-03-14,15:11:20.684411,infocoronavirus.ru
2020-03-14,15:11:20.684411,inthetimeofcoronavirus.com
2020-03-14,15:11:20.684411,iscoronavirusnearme.net
2020-03-14,15:11:20.684411,*.isurvived-covid-19.com
2020-03-14,15:11:20.684411,i-survived-covid-19.kofc13133.com
2020-03-14,15:11:20.684411,killthecoronavirusclothing.com
2020-03-14,15:11:20.684411,kit-anticoronavirus.com
2020-03-14,15:11:20.684411,lecovid19.fr
2020-03-14,15:11:20.684411,letsfightcoronavirus.com
2020-03-14,15:11:20.684411,localcoronavirus.com
2020-03-14,15:11:20.684411,loveinthetimeofcoronavirus.net
2020-03-14,15:11:20.684411,mail.coronavirusandchill.com
2020-03-14,15:11:20.684411,mapacoronavirus.org
2020-03-14,15:11:20.684411,mappacoronaviruspuglia.altervista.org
2020-03-14,15:11:20.684411,marketcap.covid19mapper.com
2020-03-14,15:11:20.684411,mascarillascoronavirus.net
2020-03-14,15:11:20.684411,mask4coronavirus.com
2020-03-14,15:11:20.684411,maskanticovid19.com
2020-03-14,15:11:20.684411,masque-anti-covid19.com
2020-03-14,15:11:20.684411,masquescoronavirus.shop
2020-03-14,15:11:20.684411,masques-coronavirus.store
2020-03-14,15:11:20.684411,medicalcovid19.com
2020-03-14,15:11:20.684411,*.mezzacoronavirus.com
2020-03-14,15:11:20.684411,noticiascovid-19.com
2020-03-14,15:11:20.684411,nuovocoronavirus.protezionecivile.it
2020-03-14,15:11:20.684411,onlinetest-covid19.com
2020-03-14,15:11:20.684411,oregoncovid19.com
2020-03-14,15:11:20.684411,ourcoronavirus.com
2020-03-14,15:11:20.684411,packanticontagiocoronavirus.com
2020-03-14,15:11:20.684411,predictions.coronavirus.industries
2020-03-14,15:11:20.684411,prepareforcoronavirus.com
2020-03-14,15:11:20.684411,productoscoronavirus.com
2020-03-14,15:11:20.684411,psicologia-covid19.pt.hugosantos.pt
2020-03-14,15:11:20.684411,quantoscasosdecoronavirus.com.br
2020-03-14,15:11:20.684411,savecoronavirus.com
2020-03-14,15:11:20.684411,sincoronavirus.net
2020-03-14,15:11:20.684411,*.skyddcoronavirus.se
2020-03-14,15:11:20.684411,statistichecoronavirus.it
2020-03-14,15:11:20.684411,stopcoronavirustoday.com
2020-03-14,15:11:20.684411,stopcovid19.code4chiba.org
2020-03-14,15:11:20.684411,stopcovid19.code4.nagoya
2020-03-14,15:11:20.684411,stopcovid19.de
2020-03-14,15:11:20.684411,*.stop-covid19-hyogo.org
2020-03-14,15:11:20.684411,survivecovid-19.gq
2020-03-14,15:11:20.684411,telemedecine-covid19.esante.gouv.fr
2020-03-14,15:11:20.684411,teletravail-coronavirus.com
2020-03-14,15:11:20.684411,*.tengoelcoronavirus.es
2020-03-14,15:11:20.684411,test.coronavirusnewsnetwork.com
2020-03-14,15:11:20.684411,testcoronavirus.today
2020-03-14,15:11:20.684411,testkitcoronavirus.com
2020-03-14,15:11:20.684411,thecoronavirus.co.nz
2020-03-14,15:11:20.684411,thecoronavirustestkits.com
2020-03-14,15:11:20.684411,todoscontraelcoronavirus.org
2020-03-14,15:11:20.684411,treat-covid19.com
2020-03-14,15:11:20.684411,trumphascovid19.com
2020-03-14,15:11:20.684411,umcu.covid19check.nl
2020-03-14,15:11:20.684411,uncoronavirusenlondres.com
2020-03-14,15:11:20.684411,unidosxelcoronavirus.com
2020-03-14,15:11:20.684411,unidosxelcoronavirus.info
2020-03-14,15:11:20.684411,unidosxelcoronavirus.org
2020-03-14,15:11:20.684411,us.covid19ps.com
2020-03-14,15:11:20.684411,uscovid19virus.com
2020-03-14,15:11:20.684411,viruscovid19.ro
2020-03-14,15:11:20.684411,voluntariscovid19andorra.com
2020-03-14,15:11:20.684411,wearecoronavirussurvivors.com
2020-03-14,15:11:20.684411,*.whohascoronavirus.com
2020-03-14,15:11:20.684411,www.2020coronavirus.org
2020-03-14,15:11:20.684411,www.coronavirus20.ru
2020-03-14,15:11:20.684411,www.coronavirusadieu.com
2020-03-14,15:11:20.684411,www.coronavirus.com.py
2020-03-14,15:11:20.684411,www.coronavirusdeals.co
2020-03-14,15:11:20.684411,www.coronavirusdesinfectantes.com
2020-03-14,15:11:20.684411,www.coronavirusesstats.com
2020-03-14,15:11:20.684411,www.corona-virus.eu
2020-03-14,15:11:20.684411,www.coronavirushealthsupplies.com
2020-03-14,15:11:20.684411,www.coronavirushelpexchange.com
2020-03-14,15:11:20.684411,www.coronavirus.industries
2020-03-14,15:11:20.684411,www.coronaviruskarte.de
2020-03-14,15:11:20.684411,www.coronavirusliveupdates.org
2020-03-14,15:11:20.684411,www.coronavirus-market.shop
2020-03-14,15:11:20.684411,www.coronavirusmask.world
2020-03-14,15:11:20.684411,www.coronavirus-meds.store
2020-03-14,15:11:20.684411,www.coronavirusonlineshop.com
2020-03-14,15:11:20.684411,www.coronavirus-pakistan.info
2020-03-14,15:11:20.684411,www.coronavirus-polezno.com
2020-03-14,15:11:20.684411,www.coronavirustips.us
2020-03-14,15:11:20.684411,www.coronavirustop.net
2020-03-14,15:11:20.684411,www.coronavirus-tshirts.com
2020-03-14,15:11:20.684411,www.coronavirusuisse.ch
2020-03-14,15:11:20.684411,www.coronavirusus.info
2020-03-14,15:11:20.684411,www.coronavirusvaccinelawyer.com
2020-03-14,15:11:20.684411,www.coronavirus-zone.com
2020-03-14,15:11:20.684411,www.covid19-101.site
2020-03-14,15:11:20.684411,www.covid19alaska.com
2020-03-14,15:11:20.684411,www.covid19ban.com
2020-03-14,15:11:20.684411,www.covid19careone.com
2020-03-14,15:11:20.684411,www.covid19clothing.co.uk
2020-03-14,15:11:20.684411,www.covid19honduras.org
2020-03-14,15:11:20.684411,www.covid-19medical.shop
2020-03-14,15:11:20.684411,www.covid19medsupplies.com
2020-03-14,15:11:20.684411,www.covid19preventioncenter.com
2020-03-14,15:11:20.684411,www.covid19puertorico.com
2020-03-14,15:11:20.684411,www.covid19quicktest.com
2020-03-14,15:11:20.684411,www.covid19vac.org
2020-03-14,15:11:20.684411,www.covid19virusupplies.com
2020-03-14,15:11:20.684411,www.crscovid19.com
2020-03-14,15:11:20.684411,www.datoscoronavirus.com
2020-03-14,15:11:20.684411,www.endcoronavirus.org
2020-03-14,15:11:20.684411,www.getcovid19help.com
2020-03-14,15:11:20.684411,www.grandprincesscoronavirus.com
2020-03-14,15:11:20.684411,www.graphcoronavirus.com
2020-03-14,15:11:20.684411,www.helpcoronavirus.ca
2020-03-14,15:11:20.684411,www.isurvivedcoronavirusshop.com
2020-03-14,15:11:20.684411,www.killthecoronavirusclothing.com
2020-03-14,15:11:20.684411,www.maskanticovid19.com
2020-03-14,15:11:20.684411,www.naturalcoronavirusprevention.com
2020-03-14,15:11:20.684411,www.novelcoronavirus.cf
2020-03-14,15:11:20.684411,www.packanticontagiocoronavirus.com
2020-03-14,15:11:20.684411,www.pandemia-covid19.ru
2020-03-14,15:11:20.684411,www.pandemic-covid19.ru
2020-03-14,15:11:20.684411,www.previnacoronavirus.com.br
2020-03-14,15:11:20.684411,www.sanidadcoronavirus.com
2020-03-14,15:11:20.684411,www.stopcoronavirus.de
2020-03-14,15:11:20.684411,www.stopcovid19.de
2020-03-14,15:11:20.684411,www.testcoronavirus.today
2020-03-14,15:11:20.684411,www.thecoronavirusguide.com
2020-03-14,15:11:20.684411,www.thecoronavirustestkits.com
2020-03-14,15:11:20.684411,www.wearecoronavirussurvivors.com
2020-03-14,15:11:20.684411,www.zerocoronavirus.com
2020-03-14,15:11:20.684411,ya-coronavirus.online
2020-03-14,15:11:20.684411,contraelcoronavirusajedrez.com
2020-03-14,15:11:20.684411,coronaviruskoruyucumaske.virusprotectionmasks.net
2020-03-14,15:11:20.684411,coronavirusmask24.com
2020-03-14,15:11:20.684411,coronavirusprotectingmask.virusprotectionmasks.net
2020-03-14,15:11:20.684411,corona-virus-safety.com
2020-03-14,15:11:20.684411,covid19.btouch.ch
2020-03-14,15:11:20.684411,covid19.buzzme.pro
2020-03-14,15:11:20.684411,covid19kit.quang.ca
2020-03-14,15:11:20.684411,covid-19.photos
2020-03-14,15:11:20.684411,covid19situations.com
2020-03-14,15:11:20.684411,emergencycoronaviruskit.com
2020-03-14,15:11:20.684411,lifeinthetimeofcovid19.com
2020-03-14,15:11:20.684411,ncov19.life
2020-03-14,15:11:20.684411,para-coronavirus.com
2020-03-14,15:11:20.684411,preventioncoronavirus.shop
2020-03-14,15:11:20.684411,sendyourenemiescoronavirus.com
2020-03-14,15:11:20.684411,www.coronavirus-mapping.ru
2020-03-14,15:11:20.684411,www.coronavirusupdates2020.com
2020-03-14,15:11:20.684411,www.covid19.btouch.ch
2020-03-14,15:11:20.684411,www.novel-corona-virus.info
2020-03-14,15:11:22.684411,sendyourenemiescoronavirus.com
2020-03-14,15:25:18.668496,rememberingcovid19.com
2020-03-14,15:26:27.229291,coronavirus.digitalsmartstorm.com
2020-03-14,15:29:33.806329,coronavirus-info.net
2020-03-14,15:29:38.213073,anticovid19.fr
2020-03-14,15:31:13.654665,www.anticovid19.fr
2020-03-14,15:32:10.179427,covid-19.ponticadev.com
2020-03-14,15:32:35.109069,coronavirus.chip2423.com
2020-03-14,15:33:19.675281,www.covid-19survivalguide.com
2020-03-14,15:36:09.921340,covid-19.kucza.xyz
2020-03-14,15:41:31.275809,covid19.ugr.es
2020-03-14,15:43:59.534216,www.coronavirusprotect.net
2020-03-14,15:47:36.845219,schutzvorcoronavirus.com
2020-03-14,15:47:58.994722,coronavirusweb.com.es
2020-03-14,15:52:23.785295,coronavirusupdates.pk
2020-03-14,15:53:35.120726,stopcovid-19.cz
2020-03-14,15:56:26.738398,isurvivedthecovid-19.com
2020-03-14,16:01:25.242047,www.thecoronavirusguide.com
2020-03-14,16:03:19.296142,coronavirus-covid2019.online
2020-03-14,16:03:58.327532,www.covid-19vaccine.us
2020-03-14,16:13:16.149081,www.corona-virussurvivalkit.com
2020-03-14,16:14:06.954833,coronavirusedu.com
2020-03-14,16:17:36.528090,screwcoronavirus.com
2020-03-14,16:25:07.906977,covid19-azores.com
2020-03-14,16:25:18.383408,*.odin-covid19.com
2020-03-14,16:25:28.404939,www.stiricoronavirus.com
2020-03-14,16:25:36.123686,covid19-azores.com
2020-03-14,16:28:35.671597,*.covid19-group.now.sh
2020-03-14,16:31:17.698255,coronavirus.yusout.com
2020-03-14,16:32:37.829254,coronavirus.yusout.com
2020-03-14,16:32:46.788052,www.coronavirusreliefproject.org
2020-03-14,16:32:52.152467,tipsforcoronavirus.com
2020-03-14,16:34:33.807606,covid19solidarityfund.online
2020-03-14,16:37:41.943184,grace-covid19-prod-tm.trafficmanager.net
2020-03-14,16:40:53.753173,testcovid-19.shop
